Country,Country Code,GDP ($USD billions PPP) 2018,GDP ($USD billions PPP) 2019,GDP ($USD billions PPP) 2020,GDP ($USD billions PPP) 2021,"health expenditure 
% of GDP 2014","health expenditure 
% of GDP 2015","health expenditure 
% of GDP 2016","health expenditure 
% of GDP 2017","health expenditure 
% of GDP 2018","health expenditure 
% of GDP 2019","health expenditure 
% of GDP 2020","health expenditure 
% of GDP 2021 or later",Military Spending as % of GDP (2019),Military Spending as % of GDP (2021),unemployment (%) 2018,unemployment (%) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure per person ($) 2015,health expenditure per person ($) 2018,health expenditure per person ($) 2019
Solomon Islands,SLB,833.91,850.94,801.91,832.06,9.81,10.13,12,12.11,10.81,11.13,12.75,12.75,0,0,31.4,1.03,2762,2773,2618,2656,173,96.38,111.9
Somalia,SOM,1.76,1.78,1.71,1.7,0,0,0,0,0,0,0,0,0,0,6.6,19.86,1157,1237,1246,1302,0,0,0
South Africa,ZAF,16.95,18.32,18.77,19.4,5.49,5.48,5.44,5.6,5.64,5.92,6.19,6.19,1,,25.9,33.56,14207,14289,13359,14420,1086,564.5,546.69
South Sudan,SSD,801.93,802.83,751.19,788.11,1.23,1.47,1.54,1.54,1.54,1.54,1.54,1.54,3.4,2.37,13.91,13.91,0,0,0,0,71,26.7,22.64
Spain,ESP,1883.93,1923.22,1715.07,1803.04,4.3,4.29,4.23,4.21,4.18,4.18,4.18,4.18,1.2,1.37,19.4,14.73,40696,41695,37756,40775,3183,2740.27,2711.19
Sri Lanka,LKA,278.68,285.17,274.86,284.91,1.93,2.23,2.23,2.14,2.14,1.93,1.93,1.93,1.9,1.88,5,5.39,13168,13632,13227,14127,353,162.11,160.7
Sudan,SDN,182.66,178.68,172.2,172.4,0,0,0,0,0,0,0,0,1.6,1.02,13.3,19.81,4474,4350,4142,4217,277,59.51,46.93
Suriname,SUR,10.95,11.07,9.31,8.98,5.53,5.53,5.64,5.46,4.92,6.83,5.01,5.01,0,0,10,10.06,19460,19840,16733,16676,1017,475.04,619.25
Sweden,SWE,532.67,543.25,527.25,552.56,7.57,7.44,7.62,7.57,7.64,7.64,7.64,7.64,1.1,1.28,7.1,8.66,53522,54599,55065,59324,5299,6005.07,5671.39
Switzerland,CHE,601.09,608.37,593.81,615.73,4.88,4.94,4.93,4.95,4.86,4.86,4.86,4.86,0.7,0.71,4.6,5.32,71660,72034,71745,77324,7583,9870.66,9666.34
Syria,SYR,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1,14.3,10.57,0,0,0,0,0,0,0
Taiwan,TWN,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.74,4,4,0,0,0,0,0,0,0
Tajikistan,TJK,31.08,33.38,34.85,38.06,4.97,4.97,5.76,5.84,5.56,5.71,5.71,5.71,1.2,1.01,10.8,7.75,3497,3733,3854,4288,193,59.84,61.87
Tanzania,TZA,141.59,149.8,152.79,159.33,3.38,4.19,4.1,4.43,3.7,3.6,3.23,3.3,1.3,1.07,2.6,2.65,2652,2773,2780,2933,96,42.04,40.34
Thailand,THA,1256.76,1283.8,1204.26,1223.13,3.72,3.76,3.64,3.36,3.06,2.97,2.97,2.97,1.3,1.32,0.6,1.42,18534,19217,18198,19209,610,278.63,296.17
Timor-Leste,TLS,3.92,4.69,5.18,5.4,7.52,8.45,8.08,7.03,6.73,6.73,6.73,6.73,1,1.14,4,5.07,3168,3780,4141,4418,141,93.65,92.67
Togo,TGO,16.26,17.15,17.45,18.37,4.78,5.11,3.69,3.76,4.04,4.07,3.99,3.99,3.1,1.78,6.8,4,2111,2211,2223,2380,96,54.89,51.16
Trinidad and Tobago,TTO,37.49,37.42,34.66,34.32,5.33,3.39,3.95,3.58,3.3,3.7,4.1,4.1,0.7,0.89,3.9,4.8,27617,27960,26125,26868,2204,1143.17,1167.93
Tunisia,TUN,131.82,133.56,121.9,125.97,6.88,6.22,7.32,7.32,7.32,7.32,7.32,7.32,2.6,2.83,14.8,16.82,11670,11903,10879,11595,774,236.73,233.06
Turkiye,TUR,2331.74,2352.49,2394.68,2657.76,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,2.7,2.06,10.3,13.39,27961,26867,27235,30472,996,389.87,396.47
Turkmenistan,TKM,86.86,92.33,92.3,92.3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,0,0,8.6,5.08,15200,16194,16194,16194,1004,460.32,500.01
Uganda,UGA,90.79,96.64,99.49,102.85,1.91,2.32,2.14,2.25,2.13,1.53,2.59,2.67,2.1,2.42,2.3,2.94,2176,2275,2294,2398,139,32.05,32.41
Ukraine,UKR,521.48,538.16,517.97,535.58,5.87,5.74,5.01,5.42,5.32,5.44,5.44,5.44,3.4,3.23,8.9,8.88,12632,13345,13087,14220,469,222.48,248.13
United Arab Emirates,ARE,644.97,666.97,626.06,626.1,3.87,3.87,3.87,3.87,3.87,3.87,3.88,3.88,5.6,5.6,3.7,3.36,68568,71145,66766,66766,2426,1817.35,1842.69
United Kingdom,GBR,3113.88,3165.94,2872.45,3086.19,5.56,5.51,5.38,5.38,5.17,5.17,5.17,5.17,1.7,2.22,4.8,4.53,47573,49041,46527,49675,4145,4270.22,4312.89
United States,USA,20048.2,20507.08,19808.9,20932.28,4.95,4.95,4.8,5.11,4.91,4.91,4.91,4.91,3.4,3.48,4.9,5.46,62805,65095,63028,69288,9536,10515.32,10921.01
Uruguay,URY,79.45,79.73,74.85,78.12,4.58,4.55,4.38,4.47,4.66,4.7,4.7,4.7,2,2.26,8.2,10.45,23585,24005,22728,24625,1748,1686.07,1660.95
Uzbekistan,UZB,233.43,246.75,251.41,270.06,5.71,5.49,5.38,5.03,5.9,7,4.92,4.92,3.6,3.6,8.9,7.16,7252,7658,7746,8497,383,82.27,98.57
Venezuela,VEN,0,0,0,0,1.93,1.93,1.19,1.34,1.34,1.34,1.34,1.34,0.5,0.5,6.9,6.41,0,0,0,0,579,464.04,338.83
Vietnam,VNM,912.34,977.57,1006.31,1032.37,4.47,4.47,4.34,4.09,4.17,4.06,4.06,4.06,2,2,2.2,2.17,9777,10562,10904,11553,334,163.15,180.72
Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17.1,13.57,0,0,0,0,144,144,144
Zambia,ZMB,61.1,61.99,60.26,62.41,5.2,4.62,3.75,3.73,4.74,4.47,3.7,3.7,1.2,1.3,7.5,13.03,3606,3617,3457,3624,203,76.31,69.32
Zimbabwe,ZWE,36.06,33.84,31.73,33.58,6.14,5.81,5.47,5.82,3.87,3.87,3.87,3.87,0.7,0.01,5.1,5.17,2557,2408,2251,2444,182,141.37,103.03
